author,text,published_at,like_count,source,total_sources,total_comments,screening_time_min,source_entropy,cluster
user_3376,emang sia a menanam ya menuai,2025-05-27 15:39:53+00:00,0,debat_tv_one,1,9,13.883333333333333,0.0,7
user_3376,ya td td jujur td bukti,2025-05-27 15:39:05+00:00,0,debat_tv_one,1,9,13.883333333333333,0.0,7
user_3376,iya byr ya ngeyel,2025-05-27 15:37:38+00:00,0,debat_tv_one,1,9,13.883333333333333,0.0,7
user_3376,ya buktikan bru bilang hoak,2025-05-27 15:31:16+00:00,0,debat_tv_one,1,9,13.883333333333333,0.0,7
user_25302,roy suryo benci dg jokowi ya,2025-05-27 10:24:30+00:00,0,debat_tv_one,1,2,2.4833333333333334,0.0,7
user_3923,roy suro ya orang gila,2025-05-24 13:33:58+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_32556,tawa nya bang roy kek sakit ya,2025-05-24 13:09:58+00:00,0,debat_tv_one,1,2,104.31666666666666,0.0,7
user_34252,pk silvestre maap ya keterangan pintar maap ya,2025-05-23 07:39:05+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_26628,rektor ugm nya dihadirkan ya gak,2025-05-20 16:57:34+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_2121,jokowi sengaja nyari panggung seharus ya alumni ugm bangga ijazah nya,2025-05-20 15:16:18+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_46038,ya universitas sekelas ugm nama nya menghancurkan nama nya,2025-05-19 10:29:00+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_50736,bismillah ya allah tunjukkan kebenaran buka kebenaran seluas luasnya aamiin,2025-05-17 13:33:24+00:00,1,debat_tv_one,1,1,0.0,0.0,7
user_52348,kepikiran yg sy lembar ucapan ya,2025-05-16 12:32:20+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_16162,kasi makan ya ternak ternak,2025-05-16 07:25:45+00:00,0,debat_tv_one,1,2,13.85,0.0,7
user_2376,emng jk g teman angkatan ya bsa tnya temen angkatan nya ya,2025-05-14 17:31:58+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_39927,roy sistem laporan menupi berjalan viral rakyat sistem berjalan tampil ijazah takut mati ya,2025-05-14 14:22:14+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_20799,masuk aja pengadilan mas suryo maju ugm ko ngga hadir ya,2025-05-13 22:26:22+00:00,0,debat_tv_one,3,3,21462.133333333335,1.0986122886681096,7
user_45636,yg monas tp ga jd ya knpa ya,2025-05-11 06:42:41+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_56465,heran orang sepicik dab sedendam ya bahaya kalo kasih jabatan pemerintah ahli ngawadul,2025-05-10 08:59:10+00:00,0,debat_tv_one,1,2,1.7333333333333334,0.0,7
user_29026,anjing dkasih tulang ya nurut,2025-05-10 05:53:01+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_53228,andi silfister tong kosong omongan nilai pendidikan nya munkin tdk masuk sekolah tp beli ijazah ya guys gimana mu guys,2025-05-08 19:10:51+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_20544,palsu baper orang gimana nasib reputasi jokowi ya,2025-05-08 12:02:51+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_31980,kalo palsu sih ribet ya bahan omongan mulu entar presiden abal abal,2025-05-08 10:46:59+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_33476,heboh banget bro politik emang penuh drama ya tunggu aja kelanjutannya,2025-05-08 09:18:26+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_17250,kalo palsu ribet banget ya kalo gitu ngos ngosan deh,2025-05-08 09:08:13+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_46190,gue sih mikir kalo palsu gede jokowi gimana ya kelanjutan dugaannya,2025-05-08 08:31:06+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_36754,roy mendem ya temenin bang try,2025-05-07 18:31:57+00:00,0,debat_tv_one,1,8,67.2,0.0,7
user_46840,panda ama jkw ya,2025-05-07 13:18:29+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_24423,karni ilyas ber pemahaman khawarij ya,2025-05-06 16:51:52+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_45219,iki ko jek urep ya allah manusia in memuat orang waras bodoh indonesia,2025-05-06 11:48:23+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_31652,logikanya kalo belom diliat langsung ya belom percaya sederhanya kalo berbelit dibikin ruwet tandanya menutupi kebohongan,2025-05-06 02:40:24+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_9042,silfester bayar ya mulyono,2025-05-05 03:04:08+00:00,1,debat_tv_one,1,2,15008.166666666666,0.0,7
user_20714,bang karni muda ya nada sopan,2025-05-04 15:04:16+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_46524,menggebu gebu ya roy suryo kalo ngomong liatin yg dengerin mukanya capek kasian,2025-05-04 12:10:05+00:00,0,debat_tv_one,3,14,4681.45,0.8304717124362917,7
user_43152,kkn d orang ya cari data to mas d arsip ad,2025-05-04 04:34:52+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_54024,ya allah robal alamin berikanlah petunjukmu kebenaran,2025-05-03 23:23:36+00:00,2,debat_tv_one,2,3,1257.05,0.6365141682948128,7
user_4742,silfester dibayar ya ilc,2025-05-03 17:15:30+00:00,1,debat_tv_one,1,1,0.0,0.0,7
user_31310,pembela emosi ngancam ngancam menang r j dilawan ya babak pinal,2025-05-03 11:58:33+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_37104,tukang macul dengar baca miliar persen wkwkwkkwk sekolah sd gak diajarin gitu ya,2025-05-03 10:48:32+00:00,0,debat_tv_one,1,2,3.3333333333333335,0.0,7
user_49131,silfester matutina ya yg duel rg yg kampusnya ruko ude gk,2025-05-03 07:16:01+00:00,1,debat_tv_one,3,6,23867.5,0.8675632284814613,7
user_18705,biang kerok korupsi negara ya si empunya ijazah palsu mulyono raja tipu orang korupsipun takut moral bejat dicontohkan mantan ri,2025-05-03 01:02:24+00:00,1,debat_tv_one,1,2,5.95,0.0,7
user_6614,iri ya,2025-05-02 23:47:17+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_6595,ga rocky gerung ya klo adabg rocky seru,2025-05-02 21:32:16+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_22079,roy suryo donk pemalsu ijazah selidik dukungan jokowi doank yg target kesannya motif politik doang kambing lawan kambing ayao selidik massal ijazah dokumen negara dukung rakyat indonesia maklumi roy suryo ya ya kambing mengembik kambing,2025-05-02 18:57:05+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_34822,ya bayarannya orang membela seumpama bayar pintar bicaranya,2025-05-02 07:29:18+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_35964,melanggar konstitusi merubah konstitusi otakmu rusak ya silver,2025-05-02 01:36:41+00:00,1,debat_tv_one,1,1,0.0,0.0,7
user_1119,menunjukan ijazah asli presiden buruk lawyer mabuk kecubung jamur tletong kerbau ya,2025-05-02 00:14:58+00:00,1,debat_tv_one,1,1,0.0,0.0,7
user_34077,hahha penjilat ya sdh posisi yg beda cr bicara nya,2025-05-01 22:41:09+00:00,1,debat_tv_one,1,1,0.0,0.0,7
user_10679,amin rais benci jokowi ya allah,2025-05-01 18:04:47+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_28181,jokowi kuliah usu ya,2025-05-01 17:52:08+00:00,1,debat_tv_one,1,4,26.316666666666666,0.0,7
user_11948,ya alloh turunkan azabmu dlm kl ijazah jokowi palsu ya jokowi kasih azab tp asli ya yg memfitnah palsu yg kau azab amiin,2025-05-01 17:37:30+00:00,0,debat_tv_one,2,2,87.78333333333333,0.6931471805599453,7
user_33270,ya coba alumnus teman temannya coba teman alumnus,2025-05-01 15:08:38+00:00,1,debat_tv_one,1,1,0.0,0.0,7
user_52127,ugm bangga alumni roy suryo jokowi ya,2025-05-01 13:40:41+00:00,0,debat_tv_one,2,2,985.6333333333333,0.6931471805599453,7
user_611,silvester ngomongin rocky gerung bodoh ya marah marah,2025-05-01 11:17:32+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_28034,kwajiban yg dipermasalahkan palsu ya tinggal tunjukan ijazahnya susahnya,2025-05-01 04:39:37+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_45360,lupa syair lagu indonesia raya ya,2025-05-01 01:16:42+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_45806,ya jokowi cerdas,2025-05-01 00:03:52+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_33113,sdm indonesia gini ya negara maju yg debatkan ai debat ijaza faedahnya coba,2025-04-30 18:15:07+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_37750,penjilat ya,2025-04-30 16:53:34+00:00,1,debat_tv_one,1,1,0.0,0.0,7
user_17412,terkadang bingung ya yg benarnya yg,2025-04-30 16:32:19+00:00,1,debat_tv_one,1,2,1.25,0.0,7
user_1753,knp narasumber ugm nga yg hadir tau ya,2025-04-30 15:41:08+00:00,2,debat_tv_one,1,1,0.0,0.0,7
user_11306,bawa rana hukum jokowi asli ya tinggal ditunjukan jgn publik jd penasaran gimana tunjukan,2025-04-30 15:34:01+00:00,3,debat_tv_one,2,4,3483.3166666666666,0.5623351446188083,7
user_1608,kalo terbukti iajazah jokowi palsu bodoh ya pejabat negara th gugat bodoh pintar ya th loh pejabat,2025-04-30 15:24:37+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_11304,ya negara indo uang hukum,2025-04-30 15:12:13+00:00,1,debat_tv_one,1,3,4.416666666666667,0.0,7
user_44649,manusia yg ber adab panggil ya jkw yg gak adab panggil presiden dah pensiun,2025-04-30 14:52:23+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_8605,roy roy ko jd kya orang yg tdk waras efek saking ponternya ya,2025-04-30 13:01:04+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_49186,terbukti palsu ya dilempari aja pakai telur busuk,2025-04-30 12:19:40+00:00,1,debat_tv_one,1,1,0.0,0.0,7
